Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxHeap(MB),MaxNonHeap(MB)
1,20844.755000, 1024.000000,1544.300000,2580.000000,16384.000000,19.100000
2,21560.805000, 1024.000000,1460.600000,2588.000000,16384.000000,18.700000
3,20806.450000, 1024.000000,1548.600000,2640.000000,16384.000000,18.600000
4,21612.371000, 1024.000000,1611.500000,2768.000000,16384.000000,19.000000
5,21584.961000, 1024.000000,1432.800000,3072.000000,16384.000000,18.200000
6,20996.822000, 1024.000000,1517.500000,2792.000000,16384.000000,19.100000
7,20928.203000, 1024.000000,1540.200000,2792.000000,16384.000000,18.100000
8,20408.083000, 1024.000000,1543.300000,2624.000000,16384.000000,19.300000
9,20163.400000, 1024.000000,1495.900000,2592.000000,16384.000000,18.400000
10,22041.313000, 1024.000000,1555.900000,2936.000000,16384.000000,19.100000
11,19649.579000, 1024.000000,1613.600000,2820.000000,16384.000000,19.100000
12,19858.476000, 1024.000000,1560.800000,2696.000000,16384.000000,18.800000
13,20180.860000, 1024.000000,1668.400000,2920.000000,16384.000000,19.100000
14,20228.976000, 1024.000000,1554.700000,2696.000000,16384.000000,18.500000
15,20368.719000, 1024.000000,1655.400000,2780.000000,16384.000000,19.100000
16,20316.249000, 1024.000000,1711.100000,3072.000000,16384.000000,18.700000
17,20689.151000, 1024.000000,1604.500000,2920.000000,16384.000000,18.900000
18,20748.854000, 1024.000000,1570.300000,3072.000000,16384.000000,18.800000
19,20617.866000, 1024.000000,1777.900000,3072.000000,16384.000000,18.200000
20,20544.437000, 1024.000000,1628.800000,2780.000000,16384.000000,19.200000
21,20624.279000, 1024.000000,1512.100000,2560.000000,16384.000000,18.800000
22,21535.131000, 1024.000000,1619.200000,2688.000000,16384.000000,18.800000
23,20564.725000, 1024.000000,1486.900000,2768.000000,16384.000000,18.800000
24,21628.958000, 1024.000000,1567.300000,2712.000000,16384.000000,19.300000
25,21707.419000, 1024.000000,1574.300000,3072.000000,16384.000000,18.800000
26,21106.319000, 1024.000000,1494.800000,2576.000000,16384.000000,18.800000
27,20628.897000, 1024.000000,1588.200000,2720.000000,16384.000000,19.000000
28,20126.042000, 1024.000000,1506.100000,2896.000000,16384.000000,18.100000
29,19882.579000, 1024.000000,1550.200000,2648.000000,16384.000000,19.200000
30,22246.502000, 1024.000000,1642.700000,2968.000000,16384.000000,19.200000
31,19861.328000, 1024.000000,1483.600000,2696.000000,16384.000000,19.100000
32,20019.530000, 1024.000000,1564.700000,2928.000000,16384.000000,19.100000
33,20508.658000, 1024.000000,1504.100000,2676.000000,16384.000000,19.100000
34,20472.407000, 1024.000000,1549.500000,2560.000000,16384.000000,18.900000
35,20631.448000, 1024.000000,1553.700000,2768.000000,16384.000000,19.000000
36,21036.498000, 1024.000000,1633.500000,2840.000000,16384.000000,18.800000
37,21420.068000, 1024.000000,1549.200000,2616.000000,16384.000000,19.000000
38,21494.678000, 1024.000000,1542.900000,2780.000000,16384.000000,18.000000
39,21738.958000, 1024.000000,1643.600000,2800.000000,16384.000000,19.200000
40,22087.623000, 1024.000000,1546.800000,3072.000000,16384.000000,18.100000
41,19886.551000, 1024.000000,1496.400000,2592.000000,16384.000000,18.100000
42,20009.699000, 1024.000000,1605.900000,3072.000000,16384.000000,18.500000
43,20439.151000, 1024.000000,1512.200000,2732.000000,16384.000000,19.100000
44,20282.803000, 1024.000000,1504.100000,2580.000000,16384.000000,19.000000
45,20442.451000, 1024.000000,1571.300000,2688.000000,16384.000000,19.000000
46,20423.499000, 1024.000000,1559.900000,2872.000000,16384.000000,18.100000
47,20780.904000, 1024.000000,1622.400000,2840.000000,16384.000000,18.600000
48,20857.477000, 1024.000000,1557.100000,2824.000000,16384.000000,18.900000
49,20551.449000, 1024.000000,1593.900000,2808.000000,16384.000000,18.100000
50,20610.907000, 1024.000000,1689.300000,2808.000000,16384.000000,19.200000
