Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T3,T5,T6,T9,T10,T11,T12,T13,T15,T17,T19,T20,T21,T22,T23
1,481.000000,16,0.000000,2.942267e-51,28,7,91,7,20,3,119,199,36,214,805,69,5,11,133,31
2,478.000000,16,0.000000,1.759902e-51,28,5,93,7,20,2,121,199,35,259,803,69,5,11,135,31
3,480.000000,16,0.000000,1.653982e-51,28,6,94,7,21,2,121,245,34,162,803,72,4,10,132,32
4,485.000000,16,0.000000,1.752009e-51,28,8,93,7,20,2,121,282,36,125,807,71,4,11,133,29
5,489.000000,16,0.000000,1.633831e-51,27,8,91,7,20,2,121,156,36,171,806,71,5,11,135,31
6,471.000000,16,0.000000,1.389126e-51,28,6,93,7,19,2,121,226,31,243,807,71,4,11,135,31
7,488.000000,16,0.000000,1.283898e-51,28,7,94,7,21,1,121,175,36,284,806,72,3,10,132,31
8,484.000000,16,0.000000,1.910897e-51,27,7,92,7,21,2,121,233,34,240,801,71,4,10,134,29
9,491.000000,16,0.000000,1.590066e-51,28,8,90,6,20,2,121,224,33,198,801,70,5,10,134,32
10,492.000000,16,0.000000,1.158671e-51,27,8,91,7,17,3,121,228,36,191,804,72,4,10,135,30
11,483.000000,16,0.000000,3.552215e-51,28,7,94,7,21,3,121,195,36,171,802,71,5,11,135,27
12,491.000000,16,0.000000,1.254113e-51,26,6,93,7,21,3,121,217,34,224,800,71,5,10,134,30
13,488.000000,16,0.000000,1.593388e-51,27,7,93,6,19,2,120,226,36,231,802,72,5,10,133,30
14,495.000000,16,0.000000,1.839452e-51,28,6,94,6,20,3,119,213,36,265,803,71,3,11,135,32
15,487.000000,16,0.000000,2.251760e-51,28,6,89,7,18,3,121,273,36,146,806,71,5,11,135,32
16,507.000000,16,0.000000,1.333720e-51,28,8,92,7,21,3,119,176,34,158,802,70,5,11,133,31
17,494.000000,16,0.000000,1.732669e-51,27,6,94,7,21,3,119,227,33,236,805,72,4,11,133,29
18,497.000000,16,0.000000,1.632815e-51,28,7,94,6,18,3,121,164,33,263,804,70,5,11,135,32
19,487.000000,16,0.000000,3.119915e-51,28,7,94,7,21,2,121,209,35,241,806,71,4,8,134,31
20,493.000000,16,0.000000,1.378339e-51,28,8,88,7,20,1,121,179,34,302,799,72,5,10,133,32
21,493.000000,16,0.000000,2.031507e-51,27,6,91,7,21,2,121,237,33,177,807,72,5,11,133,31
22,488.000000,16,0.000000,1.764903e-51,28,6,91,7,21,3,120,314,36,200,804,70,3,10,135,28
23,483.000000,16,0.000000,1.751781e-51,28,7,92,7,19,2,119,207,34,212,805,72,5,10,134,30
24,494.000000,16,0.000000,1.637489e-51,28,5,93,7,20,3,120,246,35,183,807,72,4,10,134,30
25,491.000000,16,0.000000,2.252554e-51,28,8,93,7,21,3,121,252,36,130,799,71,4,11,135,29
26,481.000000,16,0.000000,1.943282e-51,28,7,94,7,18,3,121,200,32,310,805,72,4,11,132,29
27,488.000000,16,0.000000,2.139495e-51,28,7,93,7,21,3,121,165,35,297,805,69,3,10,135,31
28,490.000000,16,0.000000,1.589547e-51,27,8,91,7,19,2,120,219,36,201,806,68,5,10,134,32
29,491.000000,16,0.000000,2.948268e-51,28,6,90,7,21,2,121,197,33,285,805,72,4,11,133,32
30,500.000000,16,0.000000,2.037695e-51,27,6,90,7,20,3,119,184,36,235,805,72,5,10,134,32
31,503.000000,16,0.000000,1.476154e-51,27,8,90,6,20,3,120,239,36,180,799,72,5,10,135,28
32,486.000000,16,0.000000,1.867767e-51,28,6,94,7,20,2,121,262,36,221,802,70,4,10,130,32
33,491.000000,16,0.000000,1.253212e-51,27,6,92,6,21,3,121,229,33,256,807,72,5,7,135,32
34,488.000000,16,0.000000,1.209240e-51,28,7,92,7,19,3,121,209,35,240,804,68,4,11,131,29
35,488.000000,16,0.000000,1.100778e-51,28,7,90,5,21,3,121,228,31,216,805,72,5,11,134,29
36,508.000000,16,0.000000,2.168279e-51,28,8,90,7,21,3,121,229,33,149,807,70,4,11,135,29
37,491.000000,16,0.000000,2.030639e-51,28,8,92,5,20,2,121,208,36,283,800,71,5,10,133,30
38,483.000000,16,0.000000,2.209970e-51,27,8,94,7,21,3,120,238,36,195,801,69,5,9,134,28
39,495.000000,16,0.000000,3.324968e-51,28,8,93,7,19,2,121,222,35,209,806,70,5,9,134,30
40,492.000000,16,0.000000,1.249136e-51,27,8,93,6,19,3,121,195,36,282,806,72,3,10,133,28
41,495.000000,16,0.000000,1.950034e-51,28,8,90,6,19,3,120,207,32,229,806,70,5,10,135,32
42,495.000000,16,0.000000,1.703635e-51,28,6,93,7,20,2,121,184,32,288,800,72,5,11,132,32
43,492.000000,16,0.000000,1.762017e-51,27,7,87,6,21,3,121,245,36,189,803,72,5,8,135,32
44,487.000000,16,0.000000,2.710390e-51,28,7,94,7,19,1,120,224,34,229,807,72,5,11,133,31
45,492.000000,16,0.000000,1.236463e-51,28,8,92,6,19,3,120,297,34,148,806,71,4,11,133,28
46,487.000000,16,0.000000,1.653414e-51,28,6,91,7,20,1,121,328,35,211,806,70,5,9,132,31
47,487.000000,16,0.000000,1.596908e-51,28,7,94,7,21,3,120,235,36,205,806,72,3,9,133,27
48,497.000000,16,0.000000,1.900055e-51,28,6,94,6,19,3,121,206,35,234,796,72,5,10,135,32
49,488.000000,16,0.000000,1.523486e-51,28,7,91,7,19,3,121,257,36,174,806,68,4,10,133,30
50,484.000000,16,0.000000,1.589875e-51,28,5,90,7,20,3,121,264,36,193,807,71,5,9,134,28
