WorkType,Variable,SetIndex,Run,ExecutionTime(s),UsedHeap(MB),nTerms,nUpdates,Probability,BestSize,Tasks,Reduced,OriginMin,OriginMax
1_nTasks,10,4,5,10955.897000,640.300000,2,100,0.001500,0.00002016000000000000,T4;T9,367;293,312;258,522;430
1_nTasks,10,4,6,11497.734000,637.900000,2,100,0.000600,0.00001036000000000000,T4;T9,348;285,312;258,522;430
1_nTasks,10,4,7,11498.195000,639.700000,2,100,0.000900,0.00000775000000000000,T4;T9,342;282,312;258,522;430
1_nTasks,10,4,8,11478.016000,639.500000,2,100,0.003300,0.00002100000000000000,T4;T9,361;299,312;258,522;430
1_nTasks,10,4,9,11531.283000,640.200000,2,100,0.001200,0.00001000000000000000,T4;T9,351;282,312;258,522;430
1_nTasks,10,4,10,11554.716000,639.400000,2,100,0.002000,0.00001353000000000000,T4;T9,352;290,312;258,522;430
1_nTasks,10,5,1,11832.968000,640.100000,2,100,0.008100,0.00000001000000000000,T1;T2,6;43,6;43,12;73
1_nTasks,10,5,2,11828.109000,638.500000,2,100,0.006600,0.00000001000000000000,T1;T2,6;43,6;43,12;73
1_nTasks,10,5,3,10960.488000,637.200000,2,100,0.004400,0.00000002000000000000,T1;T2,6;44,6;43,12;73
1_nTasks,10,5,4,10933.578000,639.600000,2,100,0.009400,0.00000001000000000000,T1;T2,6;43,6;43,12;73
1_nTasks,10,5,5,10882.945000,636.900000,2,100,0.006400,0.00000001000000000000,T1;T2,6;43,6;43,12;73
1_nTasks,10,5,6,11901.462000,637.200000,2,100,0.065700,0.00000001000000000000,T1;T2,6;43,6;43,12;73
1_nTasks,10,5,7,11851.942000,639.300000,2,100,0.035600,0.00000001000000000000,T1;T2,6;43,6;43,12;73
1_nTasks,10,5,8,11852.204000,634.500000,2,100,0.005400,0.00000005000000000000,T1;T2,6;47,6;43,12;73
1_nTasks,10,5,9,11746.647000,637.400000,2,100,0.009600,0.00000001000000000000,T1;T2,6;43,6;43,12;73
1_nTasks,10,5,10,11669.770000,638.200000,2,100,0.023200,0.00000001000000000000,T1;T2,6;43,6;43,12;73
1_nTasks,10,6,1,11812.379000,636.900000,1,100,0.000500,0.00000041000000000000,T2;T7,42;100,42;60,72;100
1_nTasks,10,6,2,11811.404000,638.600000,1,100,0.000300,0.00000041000000000000,T2;T7,42;100,42;60,72;100
1_nTasks,10,6,3,10860.963000,637.100000,1,100,0.000800,0.00000041000000000000,T2;T7,42;100,42;60,72;100
1_nTasks,10,6,4,10746.549000,637.400000,1,100,0.000300,0.00000041000000000000,T2;T7,42;100,42;60,72;100
1_nTasks,10,6,5,10787.708000,638.000000,1,100,0.000300,0.00000041000000000000,T2;T7,42;100,42;60,72;100
1_nTasks,10,6,6,10872.436000,638.300000,1,100,0.000300,0.00000041000000000000,T2;T7,42;100,42;60,72;100
1_nTasks,10,6,7,10885.463000,638.700000,1,100,0.000300,0.00000041000000000000,T2;T7,42;100,42;60,72;100
1_nTasks,10,6,8,10668.448000,636.600000,1,100,0.000800,0.00000041000000000000,T2;T7,42;100,42;60,72;100
1_nTasks,10,6,9,10575.135000,656.100000,1,100,0.000200,0.00000041000000000000,T2;T7,42;100,42;60,72;100
1_nTasks,10,6,10,10517.417000,903.900000,1,100,0.000500,0.00000041000000000000,T2;T7,42;100,42;60,72;100
1_nTasks,10,7,1,13230.660000,639.100000,2,100,0.003700,0.00005325000000000000,T3;T5,58;644,34;432,58;720
1_nTasks,10,7,2,12844.900000,638.300000,1,100,0.005200,0.00005475000000000000,T3;T5,58;650,34;432,58;720
1_nTasks,10,7,3,10755.264000,633.700000,1,100,0.003100,0.00005450000000000000,T3;T5,58;649,34;432,58;720
1_nTasks,10,7,4,10776.594000,629.300000,1,100,0.003800,0.00005075000000000001,T3;T5,58;634,34;432,58;720
1_nTasks,10,7,5,10766.075000,637.700000,1,100,0.005900,0.00005075000000000001,T3;T5,58;634,34;432,58;720
1_nTasks,10,7,6,10402.252000,636.800000,1,100,0.004100,0.00005300000000000000,T3;T5,58;643,34;432,58;720
1_nTasks,10,7,7,10443.451000,629.200000,1,100,0.003100,0.00005150000000000000,T3;T5,58;637,34;432,58;720
1_nTasks,10,7,8,10491.970000,637.300000,1,100,0.002700,0.00005350000000000001,T3;T5,58;645,34;432,58;720
1_nTasks,10,7,9,10548.924000,637.300000,1,100,0.007400,0.00005100000000000001,T3;T5,58;635,34;432,58;720
1_nTasks,10,7,10,10576.617000,635.000000,1,100,0.002600,0.00005150000000000000,T3;T5,58;637,34;432,58;720
1_nTasks,10,8,1,12817.039000,638.500000,2,100,0.000200,0.00000051000000000000,T2;T5,7;55,5;39,9;67
1_nTasks,10,8,2,12779.514000,638.000000,2,100,0.000100,0.00000010000000000000,T2;T5,5;48,5;39,9;67
1_nTasks,10,8,3,10936.568000,629.200000,2,100,0.000900,0.00000030000000000000,T2;T5,6;53,5;39,9;67
1_nTasks,10,8,4,11098.214000,630.600000,2,100,0.000400,0.00000026000000000000,T2;T5,6;51,5;39,9;67
1_nTasks,10,8,5,11263.967000,638.700000,2,100,0.000700,0.00000024000000000000,T2;T5,6;50,5;39,9;67
1_nTasks,10,8,6,10562.082000,631.100000,2,100,0.001400,0.00000036000000000000,T2;T5,6;56,5;39,9;67
1_nTasks,10,8,7,10777.902000,639.300000,2,100,0.000100,0.00000030000000000000,T2;T5,6;53,5;39,9;67
1_nTasks,10,8,8,10767.071000,626.100000,2,100,0.000600,0.00000036000000000000,T2;T5,6;56,5;39,9;67
1_nTasks,10,8,9,10759.978000,632.800000,2,100,0.002200,0.00000014000000000000,T2;T5,5;52,5;39,9;67
1_nTasks,10,8,10,10875.342000,626.900000,2,100,0.000400,0.00000034000000000000,T2;T5,6;55,5;39,9;67
1_nTasks,10,9,1,12169.627000,636.300000,1,100,0.695000,0.00000013000000000000,T8;T9,29;108,17;108,29;180
1_nTasks,10,9,2,12210.830000,637.300000,1,100,0.457200,0.00000013000000000000,T8;T9,29;108,17;108,29;180
1_nTasks,10,9,3,10859.742000,638.500000,1,100,0.730100,0.00000013000000000000,T8;T9,29;108,17;108,29;180
1_nTasks,10,9,4,10830.716000,637.100000,1,100,0.246700,0.00000013000000000000,T8;T9,29;108,17;108,29;180
1_nTasks,10,9,5,10539.334000,639.300000,1,100,0.438000,0.00000013000000000000,T8;T9,29;108,17;108,29;180
1_nTasks,10,9,6,10353.632000,638.500000,1,100,0.531900,0.00000013000000000000,T8;T9,29;108,17;108,29;180
1_nTasks,10,9,7,10350.370000,637.000000,1,100,0.633600,0.00000013000000000000,T8;T9,29;108,17;108,29;180
1_nTasks,10,9,8,10252.798000,636.900000,1,100,0.295900,0.00000013000000000000,T8;T9,29;108,17;108,29;180
1_nTasks,10,9,9,10399.681000,639.200000,1,100,0.385000,0.00000013000000000000,T8;T9,29;108,17;108,29;180
1_nTasks,10,9,10,10384.628000,632.800000,1,100,0.304200,0.00000013000000000000,T8;T9,29;108,17;108,29;180
1_nTasks,15,0,1,11773.136000,760.400000,2,100,0.000500,0.00000352000000000000,T9;T11,267;10,180;7,302;13
1_nTasks,15,0,2,11739.494000,696.400000,2,100,0.000400,0.00000376000000000000,T9;T11,273;10,180;7,302;13
1_nTasks,15,0,3,12795.578000,740.500000,2,100,0.001000,0.00000234000000000000,T9;T11,257;9,180;7,302;13
1_nTasks,15,0,4,12873.236000,686.700000,2,100,0.000800,0.00000246000000000000,T9;T11,302;8,180;7,302;13
1_nTasks,15,0,5,12943.211000,700.900000,2,100,0.001900,0.00000320000000000000,T9;T11,259;10,180;7,302;13
1_nTasks,15,0,6,11577.269000,737.300000,2,100,0.000900,0.00000384000000000000,T9;T11,275;10,180;7,302;13
1_nTasks,15,0,7,11564.520000,743.400000,2,100,0.000200,0.00000296000000000000,T9;T11,253;10,180;7,302;13
1_nTasks,15,0,8,11497.112000,638.300000,2,100,0.000300,0.00000216000000000000,T9;T11,251;9,180;7,302;13
1_nTasks,15,0,9,11359.071000,707.300000,2,100,0.000500,0.00000300000000000000,T9;T11,279;9,180;7,302;13
1_nTasks,15,0,10,11298.020000,740.300000,2,100,0.000100,0.00000273000000000000,T9;T11,270;9,180;7,302;13
1_nTasks,15,1,1,11205.450000,636.700000,1,100,0.001200,0.00000295000000000000,T9;T11,8;456,4;398,8;664
1_nTasks,15,1,2,11177.761000,634.300000,1,100,0.006800,0.00000270000000000000,T9;T11,8;451,4;398,8;664
1_nTasks,15,1,3,10959.929000,639.000000,1,100,0.000200,0.00000170000000000000,T9;T11,8;431,4;398,8;664
1_nTasks,15,1,4,10895.551000,637.800000,1,100,0.000900,0.00000270000000000000,T9;T11,8;451,4;398,8;664
1_nTasks,15,1,5,10853.399000,696.700000,1,100,0.000200,0.00000200000000000000,T9;T11,8;437,4;398,8;664
