Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxHeap(MB),MaxNonHeap(MB)
1,23418.633000, 1024.000000,1298.700000,2228.000000,16384.000000,18.900000
2,24126.853000, 1024.000000,1549.100000,2640.000000,16384.000000,19.000000
3,23471.923000, 1024.000000,1508.300000,2612.000000,16384.000000,19.100000
4,24273.940000, 1024.000000,1517.800000,2736.000000,16384.000000,19.000000
5,24088.001000, 1024.000000,1352.600000,2608.000000,16384.000000,19.200000
6,23609.162000, 1024.000000,1563.700000,2804.000000,16384.000000,18.500000
7,23154.237000, 1024.000000,1489.400000,2700.000000,16384.000000,18.500000
8,22442.070000, 1024.000000,1552.400000,2580.000000,16384.000000,18.900000
9,22447.500000, 1024.000000,1506.900000,2560.000000,16384.000000,18.400000
10,24189.660000, 1024.000000,1551.800000,2576.000000,16384.000000,18.900000
11,20341.257000, 1024.000000,1502.600000,2648.000000,16384.000000,19.300000
12,21162.529000, 1024.000000,1438.700000,2580.000000,16384.000000,18.900000
13,20886.190000, 1024.000000,1869.300000,3072.000000,16384.000000,19.000000
14,21051.731000, 1024.000000,1612.900000,2732.000000,16384.000000,19.000000
15,21513.979000, 1024.000000,1531.100000,2780.000000,16384.000000,19.100000
16,21528.275000, 1024.000000,1625.200000,2728.000000,16384.000000,18.700000
17,22255.298000, 1024.000000,1542.700000,2704.000000,16384.000000,18.200000
18,22248.937000, 1024.000000,1563.500000,2708.000000,16384.000000,18.600000
19,22375.953000, 1024.000000,1567.500000,3072.000000,16384.000000,18.300000
20,23660.857000, 1024.000000,1606.800000,2680.000000,16384.000000,18.200000
21,20641.112000, 1024.000000,1510.200000,2584.000000,16384.000000,19.100000
22,20862.814000, 1024.000000,1586.400000,2792.000000,16384.000000,18.900000
23,21096.950000, 1024.000000,1597.200000,2616.000000,16384.000000,19.000000
24,21143.492000, 1024.000000,1341.900000,2560.000000,16384.000000,19.000000
25,21367.584000, 1024.000000,1630.800000,3072.000000,16384.000000,18.700000
26,21271.834000, 1024.000000,1594.500000,2992.000000,16384.000000,18.000000
27,21473.579000, 1024.000000,1598.500000,2716.000000,16384.000000,19.300000
28,21597.696000, 1024.000000,1699.500000,3168.000000,16384.000000,19.000000
29,21528.562000, 1024.000000,1631.000000,2880.000000,16384.000000,18.700000
30,21397.625000, 1024.000000,1565.300000,2724.000000,16384.000000,18.700000
31,20976.452000, 1024.000000,1569.800000,2624.000000,16384.000000,18.800000
32,22038.021000, 1024.000000,1326.800000,2576.000000,16384.000000,19.100000
33,21285.545000, 1024.000000,1408.300000,2584.000000,16384.000000,19.300000
34,22065.046000, 1024.000000,1475.000000,2700.000000,16384.000000,17.900000
35,22023.948000, 1024.000000,1538.800000,2624.000000,16384.000000,18.100000
36,21566.785000, 1024.000000,1580.500000,2760.000000,16384.000000,18.700000
37,21249.052000, 1024.000000,1710.700000,3072.000000,16384.000000,18.100000
38,20581.287000, 1024.000000,1537.000000,2796.000000,16384.000000,18.800000
39,20467.235000, 1024.000000,1522.800000,2648.000000,16384.000000,19.100000
40,22698.075000, 1024.000000,1526.700000,3072.000000,16384.000000,19.000000
41,20236.830000, 1024.000000,1556.700000,2616.000000,16384.000000,19.200000
42,20521.367000, 1024.000000,1437.500000,2696.000000,16384.000000,18.800000
43,20930.231000, 1024.000000,1678.900000,2816.000000,16384.000000,18.200000
44,21253.094000, 1024.000000,1531.400000,2780.000000,16384.000000,19.100000
45,21190.061000, 1024.000000,1457.500000,2732.000000,16384.000000,19.000000
46,21584.135000, 1024.000000,1562.000000,2664.000000,16384.000000,19.200000
47,22072.408000, 1024.000000,1530.900000,2704.000000,16384.000000,18.400000
48,22063.516000, 1024.000000,1488.500000,2664.000000,16384.000000,18.800000
49,22082.784000, 1024.000000,1582.000000,2904.000000,16384.000000,19.200000
50,22844.367000, 1024.000000,1846.300000,3056.000000,16384.000000,18.900000
