Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T3,T5,T6,T9,T10,T11,T12,T13,T15,T17,T19,T20,T21,T22,T23
1,219.000000,16,0.000000,2.738474e-52,28,6,94,7,19,3,118,201,33,190,805,70,3,11,135,30
2,218.000000,16,0.000000,2.288757e-52,28,5,91,6,21,2,120,163,35,250,805,71,3,10,134,32
3,219.000000,16,0.000000,4.169927e-52,27,7,93,5,21,2,121,175,36,180,802,72,5,10,134,28
4,216.000000,16,0.000000,3.365204e-52,28,8,90,6,21,3,121,177,36,173,798,70,3,10,132,31
5,217.000000,16,0.000000,3.204863e-52,28,6,92,6,20,2,119,216,34,191,807,70,4,8,134,32
6,213.000000,16,0.000000,3.671547e-52,27,5,92,7,19,3,120,194,34,230,806,72,4,11,132,28
7,215.000000,16,0.000000,7.650091e-52,28,7,89,6,21,2,121,193,36,165,806,71,3,11,135,31
8,213.000000,16,0.000000,4.173905e-52,27,7,88,7,21,2,120,190,36,158,802,72,4,9,135,30
9,213.000000,16,0.000000,2.860995e-52,27,7,93,6,21,1,121,148,36,207,802,72,5,9,132,32
10,219.000000,16,0.000000,3.649674e-52,28,6,88,7,20,2,121,150,36,195,800,72,4,11,133,31
11,219.000000,16,0.000000,1.259804e-51,28,6,94,7,21,3,121,143,35,187,803,71,5,11,133,31
12,221.000000,16,0.000000,7.148446e-52,27,6,93,7,21,2,120,202,34,161,806,69,5,11,133,31
13,219.000000,16,0.000000,6.040646e-52,28,8,93,6,21,1,121,257,32,144,807,72,4,10,135,29
14,220.000000,16,0.000000,3.322910e-52,28,6,91,7,19,3,120,197,36,134,807,70,4,9,133,32
15,225.000000,16,0.000000,2.535287e-52,28,6,92,7,20,1,120,216,33,234,805,71,4,9,131,29
16,217.000000,16,0.000000,3.542217e-52,28,6,92,6,21,3,119,177,35,191,807,69,5,11,131,27
17,213.000000,16,0.000000,3.782915e-52,28,5,93,6,21,2,121,163,35,182,801,70,5,10,135,32
18,219.000000,16,0.000000,9.601805e-52,27,6,93,6,21,3,121,156,35,202,800,71,5,11,135,31
19,225.000000,16,0.000000,2.918635e-52,27,7,90,6,20,3,119,228,32,162,806,72,4,11,135,27
20,219.000000,16,0.000000,3.276806e-52,27,7,91,7,17,3,121,207,35,209,806,70,3,11,134,30
21,215.000000,16,0.000000,1.230691e-51,28,7,92,7,20,3,121,168,36,153,807,71,5,10,133,28
22,225.000000,16,0.000000,3.457210e-52,28,7,90,6,21,3,120,173,33,142,805,70,5,11,131,31
23,220.000000,16,0.000000,5.277888e-52,27,8,92,6,21,2,120,206,34,200,805,72,3,11,133,28
24,220.000000,16,0.000000,3.690827e-52,28,5,92,7,20,2,121,195,36,139,807,72,4,9,134,32
25,223.000000,16,0.000000,8.734340e-52,27,7,94,6,21,2,120,167,36,173,805,70,5,11,133,31
26,210.000000,16,0.000000,4.676471e-52,28,8,90,6,19,2,121,195,33,147,805,72,4,11,135,29
27,217.000000,16,0.000000,3.230986e-52,27,6,90,7,19,2,120,219,36,143,803,72,4,10,134,31
28,216.000000,16,0.000000,6.772212e-52,28,6,93,6,21,2,121,175,35,176,799,72,4,11,134,31
29,211.000000,16,0.000000,3.832013e-52,27,6,86,7,21,2,121,185,33,192,805,69,5,11,135,30
30,216.000000,16,0.000000,5.916283e-52,28,7,92,6,21,3,121,179,36,163,801,72,4,8,135,29
31,228.000000,16,0.000000,9.028697e-52,28,5,93,6,21,2,119,180,36,257,805,72,4,11,133,32
32,218.000000,16,0.000000,4.912466e-52,27,8,90,7,18,3,121,200,33,144,807,72,5,10,132,30
33,224.000000,16,0.000000,2.938795e-52,27,6,92,7,21,2,120,218,34,173,801,72,3,10,132,32
34,219.000000,16,0.000000,2.895782e-52,28,6,91,5,21,3,120,159,36,154,805,72,4,10,135,31
35,220.000000,16,0.000000,4.799073e-52,28,6,87,7,21,2,121,185,36,145,806,72,4,9,135,31
36,224.000000,16,0.000000,3.669961e-52,28,6,91,7,19,3,121,213,33,142,802,71,4,11,135,28
37,218.000000,16,0.000000,3.777726e-52,27,8,93,5,19,2,120,186,34,221,801,72,4,11,134,30
38,217.000000,16,0.000000,3.878811e-52,28,6,90,7,21,3,121,136,33,173,807,72,4,10,135,32
39,214.000000,16,0.000000,5.613754e-52,28,5,91,6,21,2,121,189,35,195,804,70,4,11,134,32
40,213.000000,16,0.000000,4.777388e-52,28,8,93,7,21,2,121,174,36,173,806,71,4,7,135,28
41,218.000000,16,0.000000,3.768023e-52,27,6,93,6,19,3,121,188,35,186,804,72,4,11,129,32
42,213.000000,16,0.000000,3.230805e-52,28,5,94,6,21,3,120,237,33,186,802,72,4,9,132,29
43,222.000000,16,0.000000,3.878811e-52,28,8,93,7,19,1,121,172,32,150,805,72,5,11,132,32
44,221.000000,16,0.000000,3.809754e-52,28,6,91,7,21,2,120,186,32,171,800,71,5,11,135,28
45,223.000000,16,0.000000,4.177765e-52,28,8,94,6,21,2,121,162,33,164,797,71,4,10,135,32
46,219.000000,16,0.000000,8.086520e-52,27,6,92,7,21,3,121,157,34,153,804,72,5,11,133,32
47,222.000000,16,0.000000,4.120180e-52,28,7,92,6,19,2,121,153,35,160,804,71,5,10,134,31
48,223.000000,16,0.000000,2.031141e-52,28,8,90,6,21,2,120,186,35,150,803,69,4,8,133,32
49,222.000000,16,0.000000,2.559724e-52,28,5,87,6,21,3,120,234,35,155,807,69,4,10,135,30
50,215.000000,16,0.000000,3.552453e-52,28,5,90,7,20,3,121,189,34,143,805,72,5,11,133,28
