Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T3,T5,T6,T9,T10,T11,T12,T13,T15,T17,T19,T20,T21,T22,T23
1,16574.313000,3,0.005800,6.916627e-51,28,6,94,7,21,3,121,180,36,170,807,72,5,11,135,32
2,16426.288000,3,0.003500,7.247005e-51,28,6,94,7,21,3,121,181,36,172,807,72,5,11,135,32
3,16608.747000,3,0.002700,5.868653e-51,28,6,94,7,21,3,121,177,36,163,807,72,5,11,135,32
4,16450.406000,3,0.002700,6.522305e-51,28,6,94,7,21,3,121,175,36,172,807,72,5,11,135,32
5,16506.659000,3,0.005500,7.275425e-51,28,6,94,7,21,3,121,185,36,168,807,72,5,11,135,32
6,16540.996000,3,0.005000,7.005438e-51,28,6,94,7,21,3,121,179,36,172,807,72,5,11,135,32
7,16647.009000,3,0.004100,7.247005e-51,28,6,94,7,21,3,121,181,36,172,807,72,5,11,135,32
8,16781.274000,3,0.002500,5.861548e-51,28,6,94,7,21,3,121,176,36,164,807,72,5,11,135,32
9,16399.234000,3,0.002500,6.618221e-51,28,6,94,7,21,3,121,175,36,173,807,72,5,11,135,32
10,16141.011000,3,0.001400,5.754975e-51,28,6,94,7,21,3,121,175,36,164,807,72,5,11,135,32
11,14003.424000,3,0.003700,6.664403e-51,28,6,94,7,21,3,121,177,36,171,807,72,5,11,135,32
12,14494.060000,3,0.002300,6.234556e-51,28,6,94,7,21,3,121,175,36,169,807,72,5,11,135,32
13,14472.428000,3,0.001900,6.664403e-51,28,6,94,7,21,3,121,177,36,171,807,72,5,11,135,32
14,14554.426000,3,0.002700,6.985900e-51,28,6,94,7,21,3,121,178,36,173,807,72,5,11,135,32
15,14360.435000,3,0.004600,8.174195e-51,28,6,94,7,21,3,121,180,36,182,807,72,5,11,135,32
16,14177.031000,3,0.002400,5.151058e-51,28,6,94,7,21,3,121,171,36,162,807,72,5,11,135,32
17,14509.227000,3,0.001000,4.396161e-51,28,6,94,7,21,3,121,166,36,159,807,72,5,11,135,32
18,14561.195000,3,0.002400,7.021424e-51,28,6,94,7,21,3,121,180,36,171,807,72,5,11,135,32
19,14087.677000,3,0.000200,1.212275e-51,28,5,94,7,21,3,121,156,36,143,807,72,5,11,135,32
20,14260.026000,3,0.005100,6.937942e-51,28,6,94,7,21,3,121,184,36,166,807,72,5,11,135,32
21,14003.864000,3,0.002900,5.850891e-51,28,6,94,7,21,3,121,175,36,165,807,72,5,11,135,32
22,13887.993000,3,0.003400,6.042723e-51,28,6,94,7,21,3,121,175,36,167,807,72,5,11,135,32
23,14084.831000,3,0.002200,4.961001e-51,28,6,94,7,21,3,121,170,36,161,807,72,5,11,135,32
24,14527.176000,3,0.002000,7.126222e-51,28,6,94,7,21,3,121,180,36,172,807,72,5,11,135,32
25,14444.162000,3,0.002800,7.378446e-51,28,6,94,7,21,3,121,183,36,171,807,72,5,11,135,32
26,14348.446000,3,0.002000,5.659058e-51,28,6,94,7,21,3,121,175,36,163,807,72,5,11,135,32
27,14294.367000,3,0.002200,5.742541e-51,28,6,94,7,21,3,121,174,36,165,807,72,5,11,135,32
28,14390.670000,3,0.002800,6.826039e-51,28,6,94,7,21,3,121,182,36,167,807,72,5,11,135,32
29,14306.924000,3,0.002900,5.742541e-51,28,6,94,7,21,3,121,174,36,165,807,72,5,11,135,32
30,14060.111000,3,0.002300,5.435254e-51,28,6,94,7,21,3,121,172,36,164,807,72,5,11,135,32
