Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T22,T23,T24
1,19146.870000,1,0.054100,1.230336e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8381,56,200000
2,19090.947000,1,0.056600,1.230336e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8381,56,200000
3,19072.015000,1,0.039200,1.230189e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8380,56,200000
4,19036.331000,1,0.053500,1.230630e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8383,56,200000
5,20251.373000,1,0.030300,1.228428e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8368,56,200000
6,19028.367000,1,0.068200,1.233125e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8400,56,200000
7,18896.211000,1,0.050500,1.230630e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8383,56,200000
8,18494.939000,1,0.054600,1.230777e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8384,56,200000
9,18544.069000,1,0.034300,1.229162e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8373,56,200000
10,18896.596000,1,0.040100,1.229749e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8377,56,200000
11,19320.232000,1,0.048000,1.230336e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8381,56,200000
12,19339.713000,1,0.050300,1.229602e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8376,56,200000
13,19300.703000,1,0.063300,1.230483e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8382,56,200000
14,19301.582000,1,0.042800,1.229896e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8378,56,200000
15,19403.578000,1,0.034300,1.229162e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8373,56,200000
16,19339.506000,1,0.041800,1.229309e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8374,56,200000
17,19142.256000,1,0.059500,1.231217e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8387,56,200000
18,18336.907000,1,0.038900,1.229455e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8375,56,200000
19,18421.403000,1,0.051800,1.231364e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8388,56,200000
20,19184.724000,1,0.044500,1.230630e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8383,56,200000
21,19050.224000,1,0.026400,1.228281e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8367,56,200000
22,19106.975000,1,0.050100,1.230189e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8380,56,200000
23,19229.921000,1,0.054000,1.231217e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8387,56,200000
24,19079.147000,1,0.043300,1.230336e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8381,56,200000
