Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T22,T23,T24
1,730.000000,23,0.000000,8.730606e-78,3,6,5,2,20,11,21,11,21,21,6,6,6,3,3,151,6,6,11,9,6884,55,193519
2,733.000000,23,0.000000,1.008270e-77,3,6,5,2,20,11,21,11,21,21,6,6,6,4,3,151,6,5,11,11,7347,55,149575
3,752.000000,23,0.000000,1.245822e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,10,6,6723,56,176723
4,761.000000,23,0.000000,1.242108e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,3,3,151,6,5,11,11,7275,56,93044
5,734.000000,23,0.000000,9.102714e-78,2,6,5,2,21,11,20,11,20,21,6,6,6,4,3,151,6,6,11,9,8225,56,168871
6,721.000000,23,0.000000,1.087655e-77,3,6,5,2,21,11,21,11,21,21,6,5,6,4,3,150,6,6,11,11,6524,56,90853
7,735.000000,23,0.000000,7.586931e-78,3,6,4,2,21,11,21,11,21,21,6,6,5,4,3,151,6,5,11,10,6735,56,143241
8,751.000000,23,0.000000,1.059493e-77,3,6,4,2,21,11,21,11,21,21,6,6,5,4,3,151,6,6,11,11,3162,56,182599
9,745.000000,23,0.000000,2.095007e-77,2,6,5,2,21,11,20,11,21,21,6,6,6,4,3,151,6,6,11,10,6859,56,194193
10,724.000000,23,0.000000,1.102198e-77,3,6,5,1,21,11,21,11,21,21,6,6,6,4,2,151,6,6,11,11,6372,55,188528
11,731.000000,23,0.000000,9.242139e-78,3,6,4,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,10,5886,55,99830
12,721.000000,23,0.000000,1.973273e-77,3,5,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,10,5352,56,117206
13,728.000000,23,0.000000,1.315300e-77,3,6,5,2,21,11,21,11,20,21,6,6,6,4,3,151,6,6,10,11,5540,56,129383
14,740.000000,23,0.000000,1.199812e-77,2,6,5,2,21,11,21,11,21,20,6,6,6,4,3,151,6,6,11,11,8415,56,77700
15,730.000000,23,0.000000,1.752301e-77,3,6,5,2,21,11,20,11,21,20,6,6,6,4,3,151,6,6,11,11,8351,56,114349
16,729.000000,23,0.000000,1.403565e-77,3,6,5,2,21,11,21,11,21,21,5,6,6,4,3,151,6,6,10,9,6257,56,171142
17,747.000000,23,0.000000,8.804912e-78,3,6,5,1,20,11,21,11,21,21,6,6,6,4,3,151,6,6,10,11,5219,56,183878
18,730.000000,23,0.000000,8.916427e-78,2,6,5,2,21,11,21,11,21,21,5,6,6,4,3,151,6,6,11,7,7477,56,151636
19,726.000000,23,0.000000,4.845371e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,2,150,6,6,11,7,6264,55,196718
20,731.000000,23,0.000000,1.803129e-77,3,6,4,2,21,10,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5809,56,169156
21,726.000000,23,0.000000,1.468385e-77,3,6,5,1,21,11,21,11,21,21,5,6,6,4,3,151,6,6,11,11,7956,56,100579
22,726.000000,23,0.000000,1.515894e-77,3,6,5,2,21,11,20,11,21,21,6,6,6,4,3,151,5,6,11,10,6451,56,149400
23,750.000000,23,0.000000,1.533240e-77,3,6,5,2,21,11,21,11,21,20,6,6,6,4,3,151,6,6,11,11,3803,56,109854
24,726.000000,23,0.000000,2.103483e-77,3,5,5,2,21,11,21,11,20,21,6,6,6,4,3,151,6,6,11,10,8270,56,161712
25,728.000000,23,0.000000,4.327021e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,9,6411,56,128734
