Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T22,T23,T24
1,761.000000,23,0.000000,1.551376e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,3,3,151,6,6,11,7,7082,56,139274
2,745.000000,23,0.000000,8.337449e-78,3,6,4,2,21,11,21,11,21,21,6,6,5,4,3,151,6,6,10,11,6205,56,146448
3,748.000000,23,0.000000,2.855949e-77,3,6,5,2,20,11,21,11,21,21,6,6,6,4,3,151,6,6,11,9,7863,56,138555
4,730.000000,23,0.000000,2.017059e-77,3,6,5,2,21,11,21,11,21,21,6,5,5,4,3,151,6,6,11,9,8123,56,189449
5,737.000000,23,0.000000,1.628043e-77,3,6,4,2,21,11,21,11,21,21,6,6,6,4,2,151,6,6,11,11,5792,56,153179
6,739.000000,23,0.000000,6.575698e-78,3,6,4,2,21,11,20,11,21,21,6,6,6,4,3,151,6,6,11,10,6945,55,120395
7,720.000000,23,0.000000,8.930424e-78,3,6,5,1,21,11,21,11,21,21,6,6,5,4,3,151,6,6,11,9,7664,55,177802
8,719.000000,23,0.000000,2.329232e-77,3,6,5,2,21,11,21,10,21,21,6,6,6,4,3,151,6,6,11,11,7401,55,171508
9,726.000000,23,0.000000,2.564666e-77,3,6,4,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,10,11,7142,56,195692
10,747.000000,23,0.000000,1.809741e-77,3,6,4,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,2682,56,183861
11,736.000000,23,0.000000,9.327223e-78,3,6,5,1,21,11,21,11,21,21,6,6,6,4,2,151,6,6,11,8,5763,56,154349
12,736.000000,23,0.000000,1.416922e-77,3,6,4,2,21,11,21,11,21,21,6,6,6,4,3,151,6,5,11,11,4751,56,162526
13,745.000000,23,0.000000,9.144118e-78,2,6,5,2,20,11,21,11,21,21,6,6,6,4,3,151,6,6,10,10,8486,56,137018
14,724.000000,23,0.000000,1.136699e-77,3,5,5,2,20,11,21,11,21,20,6,6,6,4,3,151,6,6,11,11,6709,56,184663
15,733.000000,23,0.000000,2.207869e-77,3,6,5,1,21,11,21,11,21,20,6,6,6,4,3,151,6,6,11,10,7046,56,199223
16,723.000000,23,0.000000,1.438423e-77,3,6,5,2,21,11,21,10,20,21,6,6,6,4,3,150,6,6,11,11,8174,56,191798
17,724.000000,23,0.000000,8.813023e-78,3,5,5,2,21,10,21,11,21,21,6,6,6,4,3,151,6,6,10,10,8089,56,138538
18,732.000000,23,0.000000,2.067483e-77,3,6,5,2,21,11,21,10,21,21,6,6,6,4,3,150,6,6,11,11,5772,56,195199
19,730.000000,23,0.000000,1.237789e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,3,3,151,6,6,10,11,7085,55,190414
20,728.000000,23,0.000000,1.491730e-77,3,6,5,1,21,11,21,11,21,21,6,6,6,4,2,151,6,6,11,9,6177,56,184248
21,744.000000,23,0.000000,9.229427e-78,3,5,5,2,21,11,21,11,21,21,6,6,6,4,3,151,5,6,11,9,7322,56,96169
22,724.000000,23,0.000000,1.047093e-77,3,6,5,2,21,10,21,11,21,21,6,6,6,4,3,151,6,5,11,7,7502,56,177479
23,733.000000,23,0.000000,1.515272e-77,3,5,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,9,4355,56,132728
