Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T22,T23,T24
1,117.000000,23,0.000000,4.919159e-79,3,6,5,2,21,11,20,11,21,20,6,6,6,4,3,150,6,6,11,8,6965,56,13471
2,115.000000,23,0.000000,6.426306e-79,3,6,5,2,21,11,20,11,21,21,5,6,6,4,3,151,6,5,10,11,8313,56,16851
3,115.000000,23,0.000000,1.005055e-78,3,6,5,2,21,11,21,11,21,20,6,6,6,4,3,151,5,6,11,9,5392,56,14221
4,115.000000,23,0.000000,3.662082e-79,3,6,4,2,21,11,21,11,21,21,6,5,5,3,3,151,6,6,11,9,5517,56,20257
5,113.000000,23,0.000000,9.211572e-79,3,5,5,1,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,7,6113,56,19161
6,113.000000,23,0.000000,5.297846e-79,3,6,4,1,21,11,21,11,21,21,6,6,6,3,2,151,6,6,11,10,4812,56,27999
7,113.000000,23,0.000000,8.172556e-79,2,6,5,2,21,10,20,11,21,21,6,6,6,4,3,151,5,6,11,11,7540,56,23627
8,116.000000,23,0.000000,5.245832e-79,2,6,4,2,21,11,20,11,21,21,6,6,6,4,3,150,6,6,11,11,8373,56,13657
9,117.000000,23,0.000000,3.507407e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,2,151,6,6,11,11,8176,56,11689
10,114.000000,23,0.000000,9.237791e-79,3,6,5,2,21,11,21,11,20,21,6,6,6,4,3,151,6,6,11,8,6101,56,7220
11,112.000000,23,0.000000,5.639777e-79,3,6,5,2,21,11,21,11,20,21,6,5,6,4,3,151,6,5,11,10,3719,56,19283
12,113.000000,23,0.000000,6.288758e-79,3,6,5,1,21,11,20,11,20,21,6,6,6,4,3,151,5,6,11,10,7646,56,20917
13,117.000000,23,0.000000,1.516297e-78,3,6,5,2,21,11,21,10,21,21,6,5,6,4,3,151,6,6,11,10,3290,56,29302
14,115.000000,23,0.000000,1.094787e-78,3,5,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,10,9,4898,56,17053
15,114.000000,23,0.000000,5.531522e-79,3,6,5,2,21,10,21,11,20,21,6,6,6,4,3,151,6,5,10,10,5705,56,24658
16,109.000000,23,0.000000,6.465141e-79,3,6,5,2,21,11,21,10,21,20,5,6,6,4,3,151,5,6,11,11,6238,56,22592
17,116.000000,23,0.000000,5.117585e-79,3,5,5,1,21,11,21,11,21,21,6,6,6,3,3,150,6,6,11,10,4782,56,27216
18,111.000000,23,0.000000,7.451939e-79,3,6,5,2,21,10,21,11,21,21,6,6,5,4,2,151,6,6,11,10,3481,56,27221
19,117.000000,23,0.000000,6.324752e-79,3,6,5,2,21,11,20,11,21,20,6,5,6,4,3,151,6,6,11,10,6101,56,13182
20,114.000000,23,0.000000,6.925027e-79,3,6,5,2,20,11,21,11,21,21,6,5,6,4,3,151,6,6,11,8,8204,55,16100
21,117.000000,23,0.000000,4.524037e-79,3,6,4,2,20,11,21,11,21,21,6,6,6,4,3,150,6,6,11,11,2990,56,16491
22,113.000000,23,0.000000,6.402815e-79,3,5,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,5,10,10,3229,56,25214
23,113.000000,23,0.000000,5.666806e-79,3,6,5,1,21,10,21,11,20,21,5,6,6,4,3,151,6,6,11,11,4020,56,30728
24,116.000000,23,0.000000,7.496001e-79,3,5,5,1,21,11,21,11,21,21,6,5,6,4,2,151,6,6,11,11,6470,56,25255
25,117.000000,23,0.000000,2.971299e-78,3,6,5,2,20,11,21,11,21,21,6,6,6,4,3,150,6,6,11,11,6876,56,23549
26,117.000000,23,0.000000,9.232141e-79,3,5,4,2,21,11,21,11,21,21,6,6,5,4,3,151,6,6,11,9,6355,56,22167
27,117.000000,23,0.000000,6.464716e-79,3,6,4,1,21,11,20,11,21,21,6,6,6,4,3,151,6,5,11,11,6655,56,21175
28,116.000000,23,0.000000,4.405153e-79,3,6,4,2,21,11,21,10,21,21,6,5,6,4,3,151,6,6,11,11,1320,56,36373
29,115.000000,23,0.000000,3.791725e-79,3,6,5,2,21,11,21,11,21,21,6,5,6,3,3,151,5,6,11,10,2144,56,22488
30,114.000000,23,0.000000,1.631248e-78,3,6,5,2,21,10,21,11,21,21,6,6,6,4,3,151,6,6,11,10,6624,55,15657
31,116.000000,23,0.000000,4.699913e-79,3,6,5,2,21,10,21,11,21,21,6,5,5,4,3,151,6,6,10,11,3387,56,30248
32,114.000000,23,0.000000,5.656434e-79,2,6,5,2,21,11,21,11,20,21,6,5,6,4,3,151,6,6,11,9,3576,56,24136
33,112.000000,23,0.000000,6.016051e-79,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,5,5,11,9,6607,56,6947
34,117.000000,23,0.000000,4.434111e-79,3,6,5,2,21,11,20,11,21,21,5,6,6,4,3,150,6,6,11,7,5508,56,20473
35,113.000000,23,0.000000,7.275137e-79,3,6,5,2,21,11,21,11,21,21,6,6,6,3,3,151,6,6,11,6,6318,55,21963
36,113.000000,23,0.000000,4.804096e-79,3,6,4,2,20,11,21,11,20,21,6,6,5,4,3,151,6,6,11,10,8269,56,14775
37,117.000000,23,0.000000,6.599567e-79,3,6,5,2,20,11,21,10,21,20,6,6,6,4,3,151,6,5,11,11,7388,56,19472
38,114.000000,23,0.000000,3.985263e-79,3,6,5,2,21,10,20,11,21,21,6,6,6,3,3,150,6,6,10,11,7078,56,24547
39,111.000000,23,0.000000,5.353375e-79,3,6,5,2,21,11,21,11,20,20,6,6,6,4,3,151,6,5,11,11,8059,55,14480
40,111.000000,23,0.000000,6.899448e-79,2,6,5,2,21,11,21,11,21,21,5,6,6,4,3,151,6,6,11,10,3728,55,23533
41,112.000000,23,0.000000,8.449260e-79,3,6,5,2,20,11,21,10,21,21,6,6,6,4,3,151,6,6,11,8,3658,56,22028
42,115.000000,23,0.000000,5.083085e-79,3,6,5,2,21,11,21,10,21,21,6,6,6,4,2,151,6,5,11,11,5352,55,20703
43,120.000000,23,0.000000,5.622705e-79,3,6,4,1,21,11,21,11,20,21,6,6,6,4,3,151,6,6,10,11,4760,56,25749
44,112.000000,23,0.000000,1.048230e-78,3,6,5,1,21,11,21,10,21,21,5,6,6,4,3,151,6,6,11,10,7908,56,16855
45,115.000000,23,0.000000,5.527670e-79,3,6,5,2,20,11,21,11,21,21,6,6,6,3,3,150,6,6,10,10,5969,56,23551
46,113.000000,23,0.000000,3.526719e-79,3,5,5,2,21,11,21,11,21,21,5,6,6,4,3,150,6,6,11,11,8245,55,9324
47,111.000000,23,0.000000,7.200715e-79,3,5,5,2,21,11,21,11,21,21,6,6,5,4,3,151,6,6,10,11,2264,56,34665
48,115.000000,23,0.000000,5.578431e-79,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,150,5,5,11,11,4775,56,12733
49,113.000000,23,0.000000,3.635052e-79,3,6,4,2,21,11,20,11,21,21,6,5,6,4,3,151,6,6,11,11,7799,56,5080
50,114.000000,23,0.000000,2.160696e-78,3,6,4,2,21,11,20,11,21,21,6,6,6,4,3,151,6,6,11,10,5561,56,24703
