Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T22,T23,T24
1,16980.825000,2,0.000600,9.769751e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5773,56,23056
2,17083.447000,2,0.008600,1.045689e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6061,56,23505
3,17089.487000,2,0.006800,1.048094e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6069,56,23528
4,17058.467000,2,0.003900,1.014816e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5972,56,23151
5,17148.822000,2,0.007300,1.043501e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6012,56,23647
6,17103.483000,2,0.000100,9.541861e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5606,56,23189
7,17039.426000,2,0.012400,1.047627e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6021,56,23705
8,16516.303000,2,0.020200,1.059934e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6101,56,23669
9,16502.613000,2,0.000200,9.772199e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5751,56,23150
10,16926.194000,2,0.000700,9.999307e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5836,56,23343
11,17044.610000,2,0.000500,9.297510e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5515,56,22968
12,16936.021000,2,0.001000,9.705001e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5682,56,23270
13,16999.351000,2,0.036500,1.045206e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6075,56,23440
14,16885.703000,2,0.003400,9.879483e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5772,56,23319
15,16994.550000,2,0.033100,1.051369e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6089,56,23524
16,17005.358000,2,0.017700,1.049275e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6073,56,23539
17,17004.113000,2,0.014800,1.042461e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6072,56,23390
18,16527.287000,2,0.018100,1.046399e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6124,56,23279
19,16370.479000,2,0.002500,9.978524e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5858,56,23207
20,16820.190000,2,0.000200,9.887702e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5725,56,23530
21,17224.018000,2,0.018800,1.066806e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6237,56,23303
22,17094.359000,2,0.007700,1.040002e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6036,56,23474
23,17237.077000,2,0.016600,1.057326e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6095,56,23634
24,17001.956000,2,0.000100,9.450962e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5567,56,23129
25,17147.413000,2,0.000100,9.449876e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5551,56,23193
26,17179.129000,2,0.002200,1.012601e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5858,56,23550
27,17130.923000,2,0.008600,1.044999e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6057,56,23505
28,16723.215000,2,0.000100,1.011478e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5852,56,23548
29,16660.938000,2,0.002300,1.020431e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5931,56,23440
30,17105.087000,2,0.003600,1.027979e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6010,56,23303
31,17810.729000,2,0.016800,1.062696e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6104,56,23719
32,17741.688000,2,0.001700,1.003311e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5790,56,23608
33,17889.587000,2,0.008500,1.040115e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6031,56,23496
34,17618.339000,2,0.000800,9.968867e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5814,56,23360
35,17638.809000,2,0.000100,9.341065e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5524,56,23038
36,17682.638000,2,0.004500,9.950061e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5834,56,23236
37,17605.752000,2,0.000100,9.682524e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5647,56,23360
38,16961.999000,2,0.008100,1.033198e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6047,56,23278
39,16974.227000,2,0.001200,1.046899e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,6012,56,23724
40,17574.961000,2,0.000100,8.797194e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5250,56,22829
41,17488.720000,2,0.002300,1.043181e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5956,56,23862
42,17335.302000,2,0.000100,9.902614e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5739,56,23508
43,17569.676000,2,0.000100,9.375571e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5542,56,23048
44,17344.966000,2,0.000600,9.568882e-78,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5626,56,23172
45,17399.244000,2,0.003600,1.011566e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,5855,56,23538
