Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T3,T5,T6,T9,T10,T11,T12,T13,T15,T17,T19,T20,T21,T22,T23
1,7894.418000,3,0.005500,1.929150e-47,56,11,188,14,42,6,242,314,72,283,1614,144,10,22,270,64
2,7753.720000,3,0.005000,3.301293e-47,56,12,188,14,42,6,242,317,72,290,1614,144,10,22,270,64
3,7521.784000,3,0.007600,1.376916e-48,56,10,188,14,42,6,242,268,72,239,1614,144,10,22,270,64
4,8337.298000,3,0.006100,2.915206e-47,56,12,188,14,42,6,242,310,72,288,1614,144,10,22,270,64
5,7863.831000,3,0.005400,1.758046e-47,56,11,188,14,42,6,242,306,72,285,1614,144,10,22,270,64
6,7744.184000,3,0.005600,2.102825e-47,56,11,188,14,42,6,242,312,72,292,1614,144,10,22,270,64
7,23613.924000,3,0.006000,3.823419e-47,56,12,188,14,42,6,242,321,72,298,1614,144,10,22,270,64
8,47133.156000,3,0.006000,3.350311e-47,56,12,188,14,42,6,242,322,72,286,1614,144,10,22,270,64
9,47247.755000,3,0.007400,2.107599e-47,56,11,188,14,42,6,242,313,72,291,1614,144,10,22,270,64
10,43594.406000,3,0.005800,2.163777e-47,56,11,188,14,42,6,242,314,72,292,1614,144,10,22,270,64
11,7764.008000,3,0.006500,2.241986e-47,56,11,188,14,42,6,242,314,72,295,1614,144,10,22,270,64
12,7958.856000,3,0.003800,1.850575e-47,56,11,188,14,42,6,242,313,72,281,1614,144,10,22,270,64
13,7723.204000,3,0.006900,2.268055e-47,56,11,188,14,42,6,242,314,72,296,1614,144,10,22,270,64
14,7958.975000,3,0.005500,2.052155e-47,56,11,188,14,42,6,242,312,72,290,1614,144,10,22,270,64
15,7964.190000,3,0.002400,1.456960e-47,56,11,188,14,42,6,242,305,72,273,1614,144,10,22,270,64
16,7961.492000,3,0.003300,2.102825e-47,56,11,188,14,42,6,242,312,72,292,1614,144,10,22,270,64
17,8485.202000,3,0.004300,2.026820e-47,56,11,188,14,42,6,242,312,72,289,1614,144,10,22,270,64
18,9085.848000,3,0.003500,1.947509e-47,56,11,188,14,42,6,242,311,72,287,1614,144,10,22,270,64
19,9150.691000,3,0.005200,2.852969e-47,56,12,188,14,42,6,242,317,72,279,1614,144,10,22,270,64
20,9528.203000,3,0.007100,1.647893e-47,56,11,188,14,42,6,242,309,72,277,1614,144,10,22,270,64
21,8003.811000,3,0.005500,2.009195e-47,56,11,188,14,42,6,242,315,72,285,1614,144,10,22,270,64
22,7879.784000,3,0.006500,3.635057e-47,56,12,188,14,42,6,242,318,72,297,1614,144,10,22,270,64
23,7929.702000,3,0.005200,1.498084e-47,56,11,188,14,42,6,242,303,72,277,1614,144,10,22,270,64
24,7951.923000,3,0.003700,1.423180e-47,56,11,188,14,42,6,242,300,72,277,1614,144,10,22,270,64
25,7945.528000,3,0.006800,2.273563e-47,56,11,188,14,42,6,242,315,72,295,1614,144,10,22,270,64
26,7936.862000,3,0.002400,1.402251e-47,56,11,188,14,42,6,242,300,72,276,1614,144,10,22,270,64
27,7820.878000,3,0.008400,2.371967e-47,56,11,188,14,42,6,242,319,72,294,1614,144,10,22,270,64
